,Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
,NSRDB,771867,-,Iowa,USA,41.61,-93.54,-6,264,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Date (MM/DD/YYYY),Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,0,30,0,0,-5.9,0.87,2.7,97.45,-5.6,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,1,30,0,0,-5.7,0.87,2.8,99.36,-5.6,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,2,30,0,0,-5.5,0.87,2.9,99.94,-5.5,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,3,30,0,0,-5.4,0.87,3.2,98.89,-5.3,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,4,30,0,0,-5.5,0.87,3.4,97.13,-5.1,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,5,30,0,0,-5.6,0.87,3.7,95.67,-5,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,6,30,0,0,-5.7,0.87,4,94.44,-4.9,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,7,30,0,0,-5.7,0.87,4.7,89.57,-4.2,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,8,30,30,588,-5.2,0.87,5.3,81.53,-2.5,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,9,30,48,794,-4.1,0.87,5.3,74.17,-0.1,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,10,30,59,875,-2.6,0.87,5.3,70.9,2.1,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,11,30,126,452,-1.2,0.87,5.2,70.79,3.6,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,12,30,155,382,-0.2,0.87,5.3,71.42,4.5,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,13,30,144,352,0.6,0.87,5.1,71.96,5.2,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,14,30,102,429,1.3,0.87,4.4,75.82,5.2,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,15,30,53,582,1.8,0.87,3.6,86.02,3.9,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,16,30,21,69,1.4,0.87,3.4,92.7,2.5,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,17,30,0,0,1.5,0.87,3.5,95.5,2.1,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,18,30,0,0,1.6,0.16,3.9,95.22,2.3,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,19,30,0,0,1.8,0.16,3.9,95.1,2.5,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,20,30,0,0,1.9,0.16,3.8,96.72,2.4,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,21,30,0,0,2,0.16,3.6,99.93,2,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,22,30,0,0,1.6,0.16,3.7,100,1.6,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2020,2020,1,1,23,30,0,0,1.4,0.16,3.9,100,1.4,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,0,30,0,0,1.1,0.16,3.9,100,1.1,965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,1,30,0,0,0.7,0.16,3.8,100,0.7,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,2,30,0,0,0.2,0.16,3.7,100,0.2,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,3,30,0,0,-0.3,0.16,3.6,98.55,-0.1,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,4,30,0,0,-0.6,0.16,3.5,97.41,-0.2,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,5,30,0,0,-0.6,0.16,3.3,96.95,-0.2,967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,6,30,0,0,-0.6,0.16,3,96.95,-0.2,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,7,30,0,0,-0.7,0.16,2.9,95.07,0,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,8,30,32,416,-0.5,0.16,3,91.31,0.8,969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,9,30,50,682,0.3,0.16,2.9,86.76,2.3,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,10,30,116,440,1.2,0.16,2.8,81.1,4.2,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,11,30,53,892,2.2,0.16,3.1,76.61,6,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,12,30,58,891,2.9,0.16,3.4,75.67,6.9,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,13,30,59,864,3.2,0.16,3.4,77.63,6.8,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,14,30,98,309,3,0.16,2.8,84.2,5.5,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,15,30,46,652,2.7,0.16,2.1,96.19,3.2,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,16,30,23,311,1.5,0.16,2,100,1.5,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,17,30,0,0,1.1,0.16,2.1,99.71,1.1,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,18,30,0,0,0.6,0.16,2.2,100,0.6,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,19,30,0,0,0,0.16,2,100,0,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,20,30,0,0,-0.8,0.16,1.8,99.96,-0.8,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,21,30,0,0,-1.7,0.16,1.8,100,-1.7,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,22,30,0,0,-2.4,0.16,1.8,100,-2.4,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,2020,1,2,23,30,0,0,-2.9,0.16,1.7,100,-2.9,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,0,30,0,0,-3,0.16,1.6,99.97,-3,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,1,30,0,0,-3,0.16,1.3,99.14,-2.9,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,2,30,0,0,-3,0.16,1,98.85,-2.8,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,3,30,0,0,-2.9,0.16,0.8,98.95,-2.8,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,4,30,0,0,-3,0.16,0.5,97.1,-2.6,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,5,30,0,0,-3.1,0.16,0.4,95.67,-2.5,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,6,30,0,0,-3.2,0.16,0.9,95.58,-2.6,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,7,30,0,0,-3.3,0.16,1.6,94.12,-2.5,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,8,30,32,510,-3.1,0.16,2.2,89.16,-1.5,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,9,30,32,312,-2.3,0.16,2.8,83.21,0.2,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,10,30,50,0,-1.5,0.16,3.4,78.24,1.9,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,11,30,119,11,-0.6,0.16,3.8,76.95,3,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,12,30,86,2,0,0.16,4,79.61,3.2,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,13,30,79,1,0.4,0.16,4,83.23,3,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,14,30,18,0,0.7,0.16,3.8,87.13,2.6,979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,15,30,31,19,0.7,0.16,3.8,92.52,1.8,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,16,30,7,0,0.1,0.16,4.4,93.75,1,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,17,30,0,0,-0.5,0.16,4.8,91.42,0.7,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,18,30,0,0,-1.1,0.87,4.9,93.06,-0.1,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,19,30,0,0,-1.5,0.87,5,92.06,-0.4,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,20,30,0,0,-2,0.87,5.5,91.17,-0.7,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,21,30,0,0,-2.4,0.87,6,89.9,-1,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,22,30,0,0,-2.9,0.87,6.2,89.64,-1.4,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/2020,2020,1,3,23,30,0,0,-3.3,0.87,6.4,88.37,-1.6,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,0,30,0,0,-3.7,0.87,6.5,87.82,-2,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,1,30,0,0,-4.5,0.87,6.3,86.48,-2.6,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,2,30,0,0,-5.5,0.87,5.7,85.73,-3.5,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,3,30,0,0,-6.5,0.87,5,84.77,-4.3,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,4,30,0,0,-7,0.87,4.3,85.15,-4.9,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,5,30,0,0,-7,0.87,3.6,86.88,-5.2,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,6,30,0,0,-6.9,0.87,3.1,88.93,-5.4,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,7,30,0,0,-6.8,0.87,3,87.09,-5,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,8,30,36,526,-6.5,0.87,3.2,81.05,-3.7,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,9,30,68,25,-6,0.87,3.2,76.39,-2.4,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,10,30,108,0,-5.5,0.87,3,73.45,-1.4,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,11,30,160,41,-5.1,0.87,2.9,71.26,-0.5,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,12,30,178,63,-4.7,0.87,3.2,67.95,0.5,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,13,30,116,556,-4.9,0.87,3.5,63.92,1.2,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,14,30,55,848,-5.4,0.87,2.9,61.63,1.2,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,15,30,41,722,-4.8,0.87,1.7,71.07,-0.2,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,16,30,22,407,-4.6,0.87,1.3,82,-1.9,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,17,30,0,0,-5.5,0.87,1.5,79,-2.4,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,18,30,0,0,-5.6,0.16,2.8,76.65,-2,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,19,30,0,0,-5.6,0.16,3.6,75.12,-1.8,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,20,30,0,0,-5.5,0.16,4.1,76.17,-1.9,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,21,30,0,0,-5.3,0.16,4.4,77.54,-1.9,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,22,30,0,0,-5,0.16,4.6,78.91,-1.8,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/2020,2020,1,4,23,30,0,0,-4.6,0.16,4.8,80.62,-1.7,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,0,30,0,0,-4.2,0.16,5.2,82.21,-1.6,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,1,30,0,0,-3.9,0.16,5.8,83.86,-1.5,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,2,30,0,0,-3.4,0.16,6.1,84.92,-1.2,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,3,30,0,0,-2.9,0.16,6.3,84.81,-0.7,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,4,30,0,0,-2.3,0.16,6.2,86.07,-0.3,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,5,30,0,0,-1.8,0.16,5.9,88.57,-0.1,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,6,30,0,0,-1.3,0.16,5.8,89.92,0.2,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,7,30,0,0,-0.8,0.16,6.1,86.59,1.2,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,8,30,28,576,-0.3,0.16,7.1,80.33,2.8,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,9,30,50,691,-0.2,0.16,8.3,71.86,4.4,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,10,30,105,456,-1,0.16,9.1,63.34,5.4,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,11,30,171,185,-2.1,0.16,9.4,56.28,6,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,12,30,54,935,-2.1,0.16,9.1,55.85,6.1,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,13,30,51,928,-2,0.16,8.4,57.28,5.8,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,14,30,48,872,-2.1,0.16,7.3,59.98,5,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,15,30,41,748,-2,0.16,5.9,68.3,3.3,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,16,30,21,448,-2.1,0.16,4.9,78.05,1.3,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,17,30,0,0,-2.5,0.16,4.6,80.62,0.4,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,18,30,0,0,-2.8,0.16,3.8,87.49,-1,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,19,30,0,0,-2.9,0.16,3.5,89.93,-1.5,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,20,30,0,0,-3,0.16,3.3,92.62,-2,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,21,30,0,0,-3.2,0.16,3.1,94.15,-2.4,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,22,30,0,0,-3.5,0.16,2.9,94.93,-2.8,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,2020,1,5,23,30,0,0,-3.8,0.16,2.6,94.6,-3.1,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,0,30,0,0,-4.1,0.16,2.4,92.49,-3.1,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,1,30,0,0,-4.2,0.16,2.2,90.49,-2.9,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,2,30,0,0,-4.2,0.16,1.8,88.94,-2.6,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,3,30,0,0,-4.1,0.16,1.5,88.95,-2.5,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,4,30,0,0,-4,0.16,1.1,89.47,-2.5,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,5,30,0,0,-4,0.16,0.8,89.47,-2.5,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,6,30,0,0,-4.4,0.16,0.5,86.36,-2.4,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,7,30,0,0,-4.6,0.16,0.6,83.3,-2.2,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,8,30,42,189,-4.1,0.16,1.2,82.35,-1.5,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,9,30,81,390,-4.1,0.16,1.6,75.89,-0.4,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,10,30,143,241,-3.3,0.16,1.7,74.16,0.8,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,11,30,154,347,-2.2,0.16,1.9,73.53,2,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,12,30,185,141,-2.4,0.16,2.1,68.09,2.9,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,13,30,144,394,-2.5,0.16,1.5,66.5,3.1,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,14,30,73,739,-0.5,0.16,1,80.79,2.5,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,15,30,67,23,-0.6,0.16,0.9,87.11,1.3,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,16,30,14,0,-2,0.16,1,82.83,0.6,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,17,30,0,0,-2.5,0.16,1,81.74,0.3,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,18,30,0,0,-2.6,0.16,1,81.74,0.2,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,19,30,0,0,-2.8,0.16,1,81.99,-0.1,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,20,30,0,0,-2.9,0.16,1.1,83.08,-0.4,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,21,30,0,0,-3.1,0.16,1.3,85.34,-1,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,22,30,0,0,-3.8,0.16,1.7,85.67,-1.7,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/2020,2020,1,6,23,30,0,0,-4.3,0.16,2.2,85.27,-2.2,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,0,30,0,0,-4.6,0.16,2.8,85.35,-2.5,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,1,30,0,0,-4.5,0.16,3.7,87.3,-2.7,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,2,30,0,0,-4.2,0.16,4.3,91.71,-3,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,3,30,0,0,-3.9,0.16,4.2,96.91,-3.5,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,4,30,0,0,-4.3,0.16,3.8,100,-4.3,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,5,30,0,0,-4.9,0.16,3.7,100,-4.9,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,6,30,0,0,-5.6,0.16,3.7,97.94,-5.3,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,7,30,0,0,-6.3,0.16,3.6,92.32,-5.2,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,8,30,29,600,-6.4,0.16,3.6,84.15,-4.1,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,9,30,100,171,-5.7,0.16,3.6,76.96,-2.2,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,10,30,79,706,-5.1,0.16,4,67.75,0.2,989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,11,30,180,106,-5.5,0.16,4.3,57.09,2.1,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,12,30,102,705,-5.5,0.16,4.3,53.17,3.1,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,13,30,115,566,-5,0.16,3.7,53.2,3.7,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,14,30,67,751,-3.7,0.16,2.6,59.57,3.4,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,15,30,47,661,-1.4,0.16,1.7,79.55,1.8,987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,16,30,25,370,-2.6,0.16,1.9,82.59,0,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,17,30,0,0,-3.4,0.16,2.1,81.37,-0.6,988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,18,30,0,0,-3.4,0.16,3.1,83.59,-1,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,19,30,0,0,-3.9,0.16,3.6,85.2,-1.7,991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,20,30,0,0,-4.5,0.16,3.8,87.04,-2.6,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,21,30,0,0,-5.3,0.16,3.9,87.73,-3.6,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,22,30,0,0,-6.8,0.16,3.8,85.04,-4.7,993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/2020,2020,1,7,23,30,0,0,-8.7,0.16,3.9,80.26,-5.8,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2020,2020,1,8,0,30,0,0,-10.9,0.16,4.1,72.87,-6.8,995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2020,2020,1,8,1,30,0,0,-12.5,0.16,4,69.02,-7.8,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/2020,2020,1,8,2,30,0,0,-13.6,0.16,4,67.55,-8.7,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
